Exit Trade Id,ticker,size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,pnl,ret,Direction,Status,Position Id
0,RELIANCE.NS,42.305051887448634,2023-11-21,1181.30129296875,24.987506246870907,2023-12-19,1269.6527099609375,26.856361886968617,3685.8674120502674,0.07375420691512584,Long,Closed,0
1,RELIANCE.NS,36.51949263583005,2024-10-09,1368.4472700195313,24.987500000000004,2024-11-06,1320.737797668457,24.116337137907806,1693.221887046489,0.03388137843014485,Short,Closed,1
2,TCS.NS,15.70281683078206,2023-02-24,3182.550018798828,24.9875,2023-03-16,2982.3974609375,23.41602052284553,3094.5554337861004,0.061922069710577295,Short,Closed,2
3,TCS.NS,13.608163303275328,2024-05-21,3672.4280041503907,24.9875,2024-06-19,3658.2999155273437,24.891371331427216,142.37846581414559,0.0028489938131895064,Short,Closed,3
4,TCS.NS,12.425076425140492,2024-07-12,4026.132177246093,25.012499999999996,2024-08-12,4042.7222565917973,25.115566501884757,156.00493726763773,0.0031185394756149476,Long,Closed,4
5,TCS.NS,12.075070145073006,2024-08-14,4142.833076660156,25.012499999999996,2024-08-30,4389.96533203125,26.50456965935803,2932.622249056707,0.05862313341442694,Long,Closed,5
6,INFY.NS,35.23659099746393,2022-12-12,1418.2700024414064,24.987500000000004,2023-01-06,1328.4591064453125,23.405185095334936,3116.237124234802,0.06235592044491849,Short,Closed,6
7,INFY.NS,39.40448433806431,2023-08-01,1269.5255588378905,25.012499999999996,2023-08-30,1333.2395408935547,26.267808304014064,2459.336299724119,0.049162144922021374,Long,Closed,7
8,INFY.NS,36.02224373550668,2023-12-06,1388.725265625,25.0125,2023-12-15,1486.039794921875,26.76524384666907,3453.7099494914696,0.06903967915025426,Long,Closed,8
9,HDFCBANK.NS,61.760617895681854,2024-01-08,809.1726038818359,24.9875,2024-01-17,748.279296875,23.10709586677318,3712.713670586868,0.07429141912129801,Short,Closed,9
