symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21,rs_vs_bench,sharpe,score_composite,leaders_score,nextup_score,mom_rank,rs_rank,adx_rank,dist_rank,rs_mom_rank,ppo_slope_rank,squeeze_rank
^CNXPSUBANK,0.027102,0.000610,0.144510,0.000846,1,1,1,0,0,0.000000,0.698413,45.390833,0,1,1.000000,0.186224,0.081392,1.000000,1.700000,3.100000,1.000000,1.000000,1.000000,11.000000,2.000000,1.000000,11.000000
^CNXINFRA,0.009841,0.000291,0.015049,0.000123,1,1,1,0,0,-0.002375,0.222222,41.004586,0,1,1.000000,0.019653,0.258913,3.800000,3.500000,5.400000,3.000000,4.000000,3.000000,9.000000,7.000000,6.000000,7.000000
^CNXAUTO,0.005939,-0.000325,0.075386,0.000192,1,1,1,0,0,-0.003373,0.428571,16.882102,0,0,0.904762,0.087830,0.449070,3.400000,4.100000,6.600000,2.000000,2.000000,11.000000,8.000000,6.000000,12.000000,9.000000
^CNXMETAL,0.008072,0.000217,0.067730,0.000521,1,1,1,0,0,-0.035709,0.531746,25.471749,0,0,1.000000,0.078517,0.162795,4.550000,4.500000,5.700000,4.000000,3.000000,8.000000,6.000000,3.000000,8.000000,10.000000
^NSEBANK,0.009834,0.000395,0.008819,0.001196,1,1,1,0,0,0.000000,0.079365,30.605252,0,0,1.000000,0.015206,0.365995,4.850000,5.700000,3.000000,5.000000,5.000000,7.000000,11.000000,1.000000,3.000000,3.000000
^CNXENERGY,0.006750,0.000307,0.001061,0.000198,1,1,1,0,0,-0.047208,0.253968,19.127520,1,1,1.000000,-0.010326,0.293995,6.800000,6.300000,5.200000,6.000000,7.000000,9.000000,4.000000,5.000000,4.000000,8.000000
NIFTY_FIN_SERVICE.NS,0.006091,0.000292,-0.007776,0.000241,1,1,1,0,0,-0.001857,0.055556,36.241996,0,0,1.000000,-0.005009,0.440815,7.100000,6.900000,5.000000,8.000000,6.000000,5.000000,10.000000,4.000000,5.000000,2.000000
^CNXREALTY,0.007343,0.000609,0.002645,0.000012,1,1,1,0,0,-0.167613,0.015873,41.004547,0,0,1.000000,-0.021108,0.190111,8.050000,7.100000,5.700000,9.000000,9.000000,4.000000,3.000000,8.000000,2.000000,1.000000
^CNXPHARMA,0.007151,0.000130,-0.027648,-0.000385,1,1,1,0,0,-0.034192,0.182540,18.615001,1,1,1.000000,-0.012833,0.313266,6.800000,7.500000,7.600000,7.000000,8.000000,10.000000,7.000000,10.000000,9.000000,6.000000
^CNXFMCG,-0.001390,-0.000049,-0.040725,-0.002236,0,0,1,0,0,-0.045773,0.166667,44.141436,1,0,0.523810,-0.056811,0.396774,10.600000,8.600000,9.400000,11.000000,11.000000,2.000000,5.000000,12.000000,10.000000,4.000000
^CNXIT,0.007732,0.000269,-0.011216,-0.000805,0,1,0,0,0,-0.209163,0.166667,14.761247,0,0,0.809524,-0.042039,0.071846,9.050000,9.600000,8.500000,10.000000,10.000000,12.000000,2.000000,11.000000,7.000000,4.000000
^CNXMEDIA,-0.015763,-0.000104,-0.149070,-0.000156,0,0,0,0,0,-0.287099,0.777778,34.619404,0,0,0.000000,-0.155745,-0.145430,12.000000,9.700000,10.900000,12.000000,12.000000,6.000000,1.000000,9.000000,11.000000,12.000000
