symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21
NIFTY_FIN_SERVICE.NS,0.006091,0.000292,-0.007776,0.000241,1,1,1,0,0,-0.185738,0.055556,36.241996,0,0,1.000000
^CNXAUTO,0.005939,-0.000325,0.075386,0.000192,1,1,1,0,0,-0.337277,0.428571,16.882102,0,0,0.904762
^CNXENERGY,0.006750,0.000307,0.001061,0.000198,1,1,1,0,0,-4.720832,0.253968,19.127520,1,1,1.000000
^CNXFMCG,-0.001390,-0.000049,-0.040725,-0.002236,0,0,1,0,0,-4.577316,0.166667,44.141436,1,0,0.523810
^CNXINFRA,0.009841,0.000291,0.015049,0.000123,1,1,1,0,0,-0.237524,0.222222,41.004586,0,1,1.000000
^CNXIT,0.007732,0.000269,-0.011216,-0.000805,0,1,0,0,0,-20.916261,0.166667,14.761247,0,0,0.809524
^CNXMEDIA,-0.015763,-0.000104,-0.149070,-0.000156,0,0,0,0,0,-28.709899,0.777778,34.619404,0,0,0.000000
^CNXMETAL,0.008072,0.000217,0.067730,0.000521,1,1,1,0,0,-3.570862,0.531746,25.471749,0,0,1.000000
^CNXPHARMA,0.007151,0.000130,-0.027648,-0.000385,1,1,1,0,0,-3.419250,0.182540,18.615001,1,1,1.000000
^CNXPSUBANK,0.027102,0.000610,0.144510,0.000846,1,1,1,0,0,0.000000,0.698413,45.390833,0,1,1.000000
^CNXREALTY,0.007343,0.000609,0.002645,0.000012,1,1,1,0,0,-16.761274,0.015873,41.004547,0,0,1.000000
^NSEBANK,0.009834,0.000395,0.008819,0.001196,1,1,1,0,0,0.000000,0.079365,30.605252,0,0,1.000000
