symbol,TRS,Q,S_prime,S_raw,N,Close,SMA50,SMA200,ATR14,BiasUp,Direction,Entry,Stop,Target,PositionSize,NewsDetail,SocialDetail
FACT.NS,56.99603049929197,50.0,71.06172014027834,0.4212344028055668,48.12214225097274,1005.5,961.8669982910156,,32.217864990234375,False,WATCH,1005.5,,,0,"{'headline_count': 98, 'avg_headline_sent': 0.40305355627431855, 'tags': [('NEG_REGULATORY', -30), ('POS_ANALYST', 12)], 'macro_mult': 1.0}","{'posts': 2, 'avg': 0.4212344028055668}"
NBCC.NS,51.53540179133415,50.0,75.6749302148819,0.5134986042976379,12.745881080627441,109.58999633789062,107.78380004882813,,2.79071535382952,False,WATCH,109.58999633789062,,,0,"{'headline_count': 1, 'avg_headline_sent': -0.931352972984314, 'tags': [], 'macro_mult': 1.0}","{'posts': 1, 'avg': 0.5134986042976379}"
ATUL.NS,50.560542941093445,50.0,50.0,0.0,52.802714705467224,6467.0,6657.31,,115.10714285714286,False,WATCH,6467.0,,,0,"{'headline_count': 8, 'avg_headline_sent': 0.0700678676366806, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
CENTRALBK.NS,50.0,50.0,50.0,0.0,50.0,36.939998626708984,36.5639998626709,,0.6857141767229352,False,WATCH,36.939998626708984,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
COCHINSHIP.NS,50.0,50.0,50.0,0.0,50.0,1821.5999755859375,1761.1699951171875,,64.74288504464286,False,WATCH,1821.5999755859375,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
GSPL.NS,50.0,50.0,50.0,0.0,50.0,319.6000061035156,311.6249981689453,,8.907143729073661,False,WATCH,319.6000061035156,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
HINDPETRO.NS,50.0,50.0,50.0,0.0,50.0,402.0,408.46100036621095,,7.467856270926339,False,WATCH,402.0,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
TARIL.NS,50.0,50.0,50.0,0.0,50.0,523.3499755859375,506.2250012207031,,14.089287894112724,False,WATCH,523.3499755859375,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
UCOBANK.NS,50.0,50.0,50.0,0.0,50.0,29.8700008392334,29.642599983215334,,0.6307145527430943,False,WATCH,29.8700008392334,,,0,"{'headline_count': 0, 'avg_headline_sent': 0.0, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
LUPIN.NS,48.840581715106964,50.0,50.0,0.0,44.20290857553482,2051.800048828125,1940.9399951171874,,39.078587123325896,False,WATCH,2051.800048828125,,,0,"{'headline_count': 4, 'avg_headline_sent': -0.14492728561162949, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
IRFC.NS,42.58689498901367,50.0,50.0,0.0,12.93447494506836,128.9600067138672,128.164599609375,,2.5871423993791853,False,WATCH,128.9600067138672,,,0,"{'headline_count': 1, 'avg_headline_sent': -0.926638126373291, 'tags': [], 'macro_mult': 1.0}","{'posts': 0, 'avg': 0.0}"
